                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0175,                0.66078,                 1.1111,                0.99431,                  0.975,                0.98856,                0.59116,                  1.422,                0.60684,                 1.1794,              0.0006536,              0.0006536,              0.0006536
                     36,                0.96439,                0.65026,                 1.0966,                0.99731,                  0.975,                0.99009,                 0.5847,                 1.4219,                0.67809,                 1.2284,               0.000614,               0.000614,               0.000614
                     37,                0.94803,                0.65685,                 1.0924,                 0.9929,                   0.95,                0.98043,                 0.5911,                 1.3718,                 0.6921,                 1.2053,              0.0005744,              0.0005744,              0.0005744
                     38,                0.86918,                0.98153,                 1.0001,                0.92819,                  0.975,                0.96993,                0.59481,                 1.3809,                0.72495,                 1.2471,              0.0005348,              0.0005348,              0.0005348
                     39,                0.95196,                0.62608,                 1.0894,                0.92075,                  0.975,                 0.9681,                0.58513,                 1.4467,                0.73181,                 1.2447,              0.0004952,              0.0004952,              0.0004952
                     40,                0.92705,                0.58342,                 1.0506,                0.94992,                0.94847,                0.98133,                0.60459,                 1.3912,                0.66895,                 1.2126,              0.0004556,              0.0004556,              0.0004556
                     41,                0.88437,                0.56521,                 1.0456,                0.93008,                0.99768,                0.98588,                0.59564,                 1.3871,                0.58335,                 1.2005,               0.000416,               0.000416,               0.000416
                     42,                0.89809,                0.53757,                  1.044,                0.97538,                 0.9904,                0.99329,                0.62258,                 1.3602,                0.55981,                 1.1755,              0.0003764,              0.0003764,              0.0003764
                     43,                0.81702,                0.50208,                 1.0212,                0.96936,                  0.975,                0.99042,                0.61469,                 1.3614,                0.58709,                 1.1734,              0.0003368,              0.0003368,              0.0003368
                     44,                0.81942,                0.50272,                 1.0403,                      1,                0.96759,                0.99318,                0.61404,                 1.3624,                 0.5671,                 1.2066,              0.0002972,              0.0002972,              0.0002972
                     45,                0.81835,                0.49659,                 1.0083,                      1,                0.97107,                0.99405,                0.62709,                   1.34,                0.54748,                 1.2295,              0.0002576,              0.0002576,              0.0002576
                     46,                0.88192,                0.52909,                 1.1504,                      1,                0.97094,                 0.9936,                0.63495,                 1.3604,                0.53416,                 1.2174,               0.000218,               0.000218,               0.000218
                     47,                0.78836,                0.48561,                0.99779,                      1,                0.97022,                 0.9936,                0.61695,                 1.3868,                0.53063,                 1.2191,              0.0001784,              0.0001784,              0.0001784
                     48,                0.73688,                0.48427,                 1.0026,                0.97482,                0.96784,                0.99118,                0.61624,                 1.3704,                0.52754,                 1.2294,              0.0001388,              0.0001388,              0.0001388
                     49,                0.72872,                0.48981,                0.98814,                0.94868,                  0.975,                0.99086,                0.61603,                 1.3675,                0.52945,                  1.225,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.7482,                0.47034,                0.97485,                0.94912,                  0.975,                0.99086,                0.61203,                 1.3738,                0.52662,                  1.216,               5.96e-05,               5.96e-05,               5.96e-05
